model,val_mae_bpm,val_rmse_bpm,val_r2_bpm,test_mae_bpm,test_rmse_bpm,test_r2_bpm
HistGBDT,10.556521380289011,13.508678060106424,0.8270488147221612,11.623877751773492,14.79101395599647,0.8043950056495094
PolyRidge,10.598135231329449,13.4022146937319,0.8297641667390505,12.078654130513547,15.321984329074079,0.7900992099119832
GlobalMean,27.7513971181284,32.48362477853705,-6.173397937181413e-05,28.611636627403197,33.451603158300095,-0.0005019000814636687
