ID,total_workouts,train_count,val_count,test_count,train_pct,val_pct,test_pct
61,1,1,0,0,100.0%,0.0%,0.0%
62,1,1,0,0,100.0%,0.0%,0.0%
63,1,1,0,0,100.0%,0.0%,0.0%
64,1,1,0,0,100.0%,0.0%,0.0%
65,1,1,0,0,100.0%,0.0%,0.0%
66,1,1,0,0,100.0%,0.0%,0.0%
67,1,1,0,0,100.0%,0.0%,0.0%
68,1,1,0,0,100.0%,0.0%,0.0%
69,1,1,0,0,100.0%,0.0%,0.0%
70,1,1,0,0,100.0%,0.0%,0.0%
71,1,1,0,0,100.0%,0.0%,0.0%
73,1,1,0,0,100.0%,0.0%,0.0%
74,1,1,0,0,100.0%,0.0%,0.0%
75,1,1,0,0,100.0%,0.0%,0.0%
76,1,1,0,0,100.0%,0.0%,0.0%
77,1,1,0,0,100.0%,0.0%,0.0%
78,1,1,0,0,100.0%,0.0%,0.0%
79,1,1,0,0,100.0%,0.0%,0.0%
81,1,1,0,0,100.0%,0.0%,0.0%
83,1,1,0,0,100.0%,0.0%,0.0%
84,1,1,0,0,100.0%,0.0%,0.0%
85,1,1,0,0,100.0%,0.0%,0.0%
86,1,1,0,0,100.0%,0.0%,0.0%
87,1,1,0,0,100.0%,0.0%,0.0%
88,1,1,0,0,100.0%,0.0%,0.0%
89,1,1,0,0,100.0%,0.0%,0.0%
90,1,1,0,0,100.0%,0.0%,0.0%
91,1,1,0,0,100.0%,0.0%,0.0%
93,1,1,0,0,100.0%,0.0%,0.0%
94,1,1,0,0,100.0%,0.0%,0.0%
95,1,1,0,0,100.0%,0.0%,0.0%
97,1,1,0,0,100.0%,0.0%,0.0%
98,1,1,0,0,100.0%,0.0%,0.0%
101,1,1,0,0,100.0%,0.0%,0.0%
102,1,1,0,0,100.0%,0.0%,0.0%
103,1,1,0,0,100.0%,0.0%,0.0%
104,1,1,0,0,100.0%,0.0%,0.0%
105,1,1,0,0,100.0%,0.0%,0.0%
106,1,1,0,0,100.0%,0.0%,0.0%
107,1,1,0,0,100.0%,0.0%,0.0%
112,1,1,0,0,100.0%,0.0%,0.0%
113,1,1,0,0,100.0%,0.0%,0.0%
114,1,1,0,0,100.0%,0.0%,0.0%
115,1,1,0,0,100.0%,0.0%,0.0%
116,1,1,0,0,100.0%,0.0%,0.0%
117,1,1,0,0,100.0%,0.0%,0.0%
120,1,1,0,0,100.0%,0.0%,0.0%
121,1,1,0,0,100.0%,0.0%,0.0%
123,1,1,0,0,100.0%,0.0%,0.0%
126,1,1,0,0,100.0%,0.0%,0.0%
127,1,1,0,0,100.0%,0.0%,0.0%
128,1,1,0,0,100.0%,0.0%,0.0%
129,1,1,0,0,100.0%,0.0%,0.0%
130,1,1,0,0,100.0%,0.0%,0.0%
131,1,1,0,0,100.0%,0.0%,0.0%
135,1,1,0,0,100.0%,0.0%,0.0%
136,1,1,0,0,100.0%,0.0%,0.0%
137,1,1,0,0,100.0%,0.0%,0.0%
139,1,1,0,0,100.0%,0.0%,0.0%
140,1,1,0,0,100.0%,0.0%,0.0%
141,1,1,0,0,100.0%,0.0%,0.0%
142,1,1,0,0,100.0%,0.0%,0.0%
143,1,1,0,0,100.0%,0.0%,0.0%
144,1,1,0,0,100.0%,0.0%,0.0%
145,1,1,0,0,100.0%,0.0%,0.0%
146,1,1,0,0,100.0%,0.0%,0.0%
147,1,1,0,0,100.0%,0.0%,0.0%
148,1,1,0,0,100.0%,0.0%,0.0%
149,1,1,0,0,100.0%,0.0%,0.0%
150,1,1,0,0,100.0%,0.0%,0.0%
151,1,1,0,0,100.0%,0.0%,0.0%
152,1,1,0,0,100.0%,0.0%,0.0%
156,1,1,0,0,100.0%,0.0%,0.0%
158,1,1,0,0,100.0%,0.0%,0.0%
159,1,1,0,0,100.0%,0.0%,0.0%
162,1,1,0,0,100.0%,0.0%,0.0%
164,1,1,0,0,100.0%,0.0%,0.0%
165,1,1,0,0,100.0%,0.0%,0.0%
166,1,1,0,0,100.0%,0.0%,0.0%
167,1,1,0,0,100.0%,0.0%,0.0%
168,1,1,0,0,100.0%,0.0%,0.0%
169,1,1,0,0,100.0%,0.0%,0.0%
171,1,1,0,0,100.0%,0.0%,0.0%
172,1,1,0,0,100.0%,0.0%,0.0%
173,1,1,0,0,100.0%,0.0%,0.0%
174,1,1,0,0,100.0%,0.0%,0.0%
175,1,1,0,0,100.0%,0.0%,0.0%
180,1,1,0,0,100.0%,0.0%,0.0%
181,1,1,0,0,100.0%,0.0%,0.0%
182,1,1,0,0,100.0%,0.0%,0.0%
184,1,1,0,0,100.0%,0.0%,0.0%
185,1,1,0,0,100.0%,0.0%,0.0%
186,1,1,0,0,100.0%,0.0%,0.0%
187,1,1,0,0,100.0%,0.0%,0.0%
189,1,1,0,0,100.0%,0.0%,0.0%
190,1,1,0,0,100.0%,0.0%,0.0%
192,1,1,0,0,100.0%,0.0%,0.0%
194,1,1,0,0,100.0%,0.0%,0.0%
196,1,1,0,0,100.0%,0.0%,0.0%
197,1,1,0,0,100.0%,0.0%,0.0%
198,1,1,0,0,100.0%,0.0%,0.0%
199,1,1,0,0,100.0%,0.0%,0.0%
200,1,1,0,0,100.0%,0.0%,0.0%
202,1,1,0,0,100.0%,0.0%,0.0%
203,1,1,0,0,100.0%,0.0%,0.0%
204,1,1,0,0,100.0%,0.0%,0.0%
205,1,1,0,0,100.0%,0.0%,0.0%
206,1,1,0,0,100.0%,0.0%,0.0%
207,1,1,0,0,100.0%,0.0%,0.0%
208,1,1,0,0,100.0%,0.0%,0.0%
209,1,1,0,0,100.0%,0.0%,0.0%
210,1,1,0,0,100.0%,0.0%,0.0%
211,1,1,0,0,100.0%,0.0%,0.0%
212,1,1,0,0,100.0%,0.0%,0.0%
213,1,1,0,0,100.0%,0.0%,0.0%
214,1,1,0,0,100.0%,0.0%,0.0%
216,1,1,0,0,100.0%,0.0%,0.0%
218,1,1,0,0,100.0%,0.0%,0.0%
219,1,1,0,0,100.0%,0.0%,0.0%
220,1,1,0,0,100.0%,0.0%,0.0%
221,1,1,0,0,100.0%,0.0%,0.0%
222,1,1,0,0,100.0%,0.0%,0.0%
223,1,1,0,0,100.0%,0.0%,0.0%
224,1,1,0,0,100.0%,0.0%,0.0%
225,1,1,0,0,100.0%,0.0%,0.0%
226,1,1,0,0,100.0%,0.0%,0.0%
227,1,1,0,0,100.0%,0.0%,0.0%
228,1,1,0,0,100.0%,0.0%,0.0%
229,1,1,0,0,100.0%,0.0%,0.0%
230,1,1,0,0,100.0%,0.0%,0.0%
231,1,1,0,0,100.0%,0.0%,0.0%
